GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ContohProject,default,Counter,43,26,2,0,12,10,7,5,6,5
ContohProject,default,Driver,42,0,0,0,8,0,2,0,2,0
